Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
Legislative Analyst,Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=d164371d-49df-714a-7388-eb182e905168,"""Fairfax, VA.USA""",2023-08-18,1/1/2050,6. Early career policy,"""ANSER is seeking a Legislative Analyst to provide legislative analysis to the Office of the Assistant Secretary of Defense (OASD) Special Operations Low-Intensity Conflict (SO/LIC) across a wide range of legislative-enabling functions support services. These include coordinating, monitoring and tracking proposed legislation, identifying potential provisions in legislation (e.g., authorizations, appropriations, and other bills relating to defense matters) that would affect special operations forces (SOF); assisting in hearing preparation and [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Policy, Legal",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
Nuclear Policy Analyst,Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=58de61b7-350c-026d-b3b3-07fce282a93d,"""Washington, DC metro area.USA""",2024-03-19,1/1/2050,3. Nuclear security,"""ANSER is seeking a mid-level analyst to provide on-site technical and analytical support to a wide range of actions in the Office of the Deputy Assistant Secretary of Defense for Nuclear Matters (ODASD(NM)) regarding the national strategic deterrent. Specifically, the analyst will: Manage and update the Deterrence Analysis Support Group’s NPES (Nuclear Planning and Execution System) database; Perform analysis of Operation Plans (OPLANs) to ensure adherence to guidance; Provide subject matter expertise and analytical support to hard and deeply [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Policy, Research",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
"Program Management Analyst, International Strategic Engagements",Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=16f13156-a174-9197-d91e-8a7fe23a2cd5,"""Washington, DC metro area.USA""",2023-10-07,1/1/2050,2. Biosecurity & pandemic preparedness,"""The person in this role provide support to the ODASD(CBD) in the program management of the Chemical, Biological, and Radiological (CBR) Memorandum of Understanding (MOU) portfolio. Responsibilities: Evaluating the CBR MOU portfolio, providing recommendations, and executing program management tools in coordination with international partners. Reviewing and evaluating current policies, activities, and systems in place. Developing recommendations to improve alignment with the Chemical and Biological Defense Program (CBDP), increase effectiveness [...]""",Undergraduate degree or less,Senior (10+ years experience),"Operations, Policy",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
"Senior Research Analyst, Chemical and Biological Defense Governance",Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=24cdd9bc-c9e5-5443-4f03-9903e8de9717,"""Washington, DC metro area.USA""",2023-09-20,1/1/2050,2. Biosecurity & pandemic preparedness,"""The person in this role will directly support the ODASD(CBD)’s Governance Secretariat. Responsibilities: Working across both CBDP Governance bodies and the Biodefense Council. Supporting oversight on planning CBDP Governance and Biodefense Council meetings. Establishing and maintaining workplans for the Chemical and Biological Management Council and the Biodefense Council. Leading coordination of Governance team taskings. Establishing protocols and standard operating procedures for CBDP Governance and the Biodefense Council. Supporting [...]""",Undergraduate degree or less,Senior (10+ years experience),"Research, Policy",http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
Strategic Planning Analyst,Anser (US government role),https://www.anser.org/careers/opportunity/?jobId=08bd59b7-062f-2ecc-bd92-0e16ca02c714,"""Washington, DC metro area.USA""",2024-03-13,1/1/2050,"3. Nuclear security,2. Biosecurity & pandemic preparedness","""ANSER is hiring for a Strategic Planning Analyst to work onsite at the Mark Center in Alexandria, VA in support of the Deputy Assistant Secretary of Defense for Chemical and Biological Defense (DASD(CBD)) as part of a team providing cross-functional strategic planning support to the ODASD(CBD). Responsibilities: Lead planning efforts to develop strategic plans that implement the guidance of the Assistant Secretary of Defense for Nuclear, Chemical, and Biological Defense Programs (ASD(NCB)) and the Deputy Assistant Secretary of Defense for [...]""",Undergraduate degree or less,Mid (5-9 years experience),Policy,http://www.anser.org/,http://www.anser.org/careers/opportunity/,https://80000hours.org/wp-content/uploads/2020/04/Anser.jpg,Not Found
Application Security Engineer,Anthropic,https://jobs.lever.co/Anthropic/fe709dbc-cc7d-4f84-8be0-66708a4fe795,"San Francisco Bay Area.USA,London.UK",2024-02-12,1/1/2050,1. AI safety & policy,"""In this role, you will apply security patterns built for high-risk environments to safeguard model weights as we scale new capabilities. Working closely with software engineers, you will institute controls around access, infrastructure, and data to proactively minimize risks from bad actors. Responsibilities: Lead “shift left” security efforts to build security into the software development lifecycle; Conduct secure design reviews and threat modeling. Identify and prioritize risks, attack surfaces, and vulnerabilities; Perform security code [...]""",Undergraduate degree or less,Mid (5-9 years experience),Information security,https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$300,000 - $405,000"
Detection and Response Engineer,Anthropic,https://jobs.lever.co/Anthropic/9d6e18fc-e601-4772-af26-13c506787004,"London.UK,Seattle metro area.USA,San Francisco Bay Area.USA,""New York, NY.USA""",2024-03-25,1/1/2050,1. AI safety & policy,"""- In this role, you'll contribute to the security posture of the Anthropic.
- Detect and respond to security incidents.
- Improve incident response processes.
- Develop and manage security monitoring tools.
- Collaborate with teams to address security challenges.""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Software engineering, Information security",https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$300,000 - $450,000"
IT Engineer,Anthropic,https://jobs.lever.co/Anthropic/f5c4dd19-9016-4a8f-8b5c-40b1d9c6e0fb,San Francisco Bay Area.USA,2023-10-13,1/1/2050,1. AI safety & policy,"""We are looking for an experienced IT Engineer, who will resolve technical issues, automate processes, configure A/V and network hardware, and implement security best practices. Responsibilities: Diagnose and resolve IT incidents and requests, while creating helpful documentation. Configure and troubleshoot networks, audio/video equipment, and security systems. Onboard and offboard employees, while streamlining/automating processes. Configure the mobile device management platform to improve security and end user experience. Conduct [...]""",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Information security",https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$130,000 - $190,000"
"Policy Lead, Responsible Deployment, Trust and Safety ",Anthropic,https://jobs.lever.co/Anthropic/7cb9bc58-ca94-437f-8f77-d6b6f80f0231,San Francisco Bay Area.USA,2024-01-11,1/1/2050,1. AI safety & policy,"""As the Trust and Safety (T&S) Responsible Deployment Policy Lead, you will manage and grow a high-impact team focused on developing policies that guide the safe and responsible deployment of Anthropic's tools and services. You'll work cross-functionally with Legal, Public Policy, Sales and Product in upholding robust and comprehensive policies that prevent harm while enabling innovation. Important Context On This Role: In this position you may be exposed to and engage with explicit content spanning a range of topics, including those of a [...]""",Undergraduate degree or less,Senior (10+ years experience),"Policy, Management",https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$240,000 - $285,000"
"Policy Manager, Trust and Safety",Anthropic,https://jobs.lever.co/Anthropic/180dd02e-2998-4d74-a729-6b5c1f38521f,San Francisco Bay Area.USA,2023-10-17,1/1/2050,1. AI safety & policy,"""As a Trust and Safety Policy Manager, you will be responsible for helping develop and manage policies for our products and services. Safety is core to our mission and as an early member of the team, you’ll help shape policy creation and development so that our users can safely interact with and build on top of our products in a harmless, helpful and honest way. Responsibilities: Draft new policies that help govern the responsible use of our models for emerging capabilities and use cases. Conduct regular reviews of existing policies to identify [...]""",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Policy, Research",https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$200,000 - $240,000"
Policy Special Projects Lead,Anthropic,https://jobs.lever.co/Anthropic/5752c514-c7f9-4cb1-8ed7-46d66415c66e,San Francisco Bay Area.USA,2024-03-13,1/1/2050,1. AI safety & policy,"""As Policy Special Projects Lead, you will lead complex cross-functional projects that advance key company priorities, take ownership of emerging policy opportunities and challenges, and engage external stakeholders to drive progress in AI policy and AI safety. You will also collaborate with Policy and cross-functional colleagues on a variety of other projects, including analyzing or developing new policy proposals and drafting submissions for public comment. Representative projects: Designing and executing a plan to ensure smooth entry to [...]""",Undergraduate degree or less,Multiple experience levels,"Policy, Outreach",https://www.anthropic.com/,https://jobs.lever.co/Anthropic,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,"$280,000 - $300,000"
